n,c,P,parameter_path,category,available,m,explicit_tail_upper,hybrid_tail_upper,lambda_ref,u_ref,finite_lower,finite_upper,explicit_lower,explicit_upper,explicit_width,explicit_contains_reference,hybrid_lower,hybrid_upper,hybrid_width,hybrid_contains_reference,ordinary_observed_finite_Ritz_error
0,40,17,fixed continuous c,deep,True,0,0.8652450685618533,0.40997626265986914,1.0000000000000246,4.118927421359331e-13,-15.875686612511812,32.11049518308526,0.0,1.0,1.0,False,0.0,1.0,1.0,False,7.117404285286701
0,40,17,fixed continuous c,edge,True,8,0.8652450685618533,0.40997626265986914,0.9999999344152142,2.9165558856902862e-12,-22.96011709692723,25.026064698669845,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.03297386645609235
0,40,17,fixed continuous c,knee,True,12,0.8652450685618533,0.40997626265986914,0.657101627791495,1.5509815654013437e-12,-23.43328405162056,24.552897743976516,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.09729478161351868
0,40,17,fixed continuous c,tail,True,15,0.8652450685618533,0.40997626265986914,6.336317442596817e-05,1.1102230246251565e-13,-23.9845093878821,24.001672407714977,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.008518146742013998
0,40,20,fixed continuous c,deep,True,0,0.5263627381955908,0.33924789371766567,1.0000000000000246,4.118927421359331e-13,-16.895134111532098,33.12994293343174,0.0,1.0,1.0,False,0.0,1.0,1.0,False,7.117404410949797
0,40,20,fixed continuous c,edge,True,8,0.5263627381955908,0.33924789371766567,0.9999999344152142,2.9165558856902862e-12,-23.979564281684628,26.04551276327921,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.03297430638207821
0,40,20,fixed continuous c,knee,True,12,0.5263627381955908,0.33924789371766567,0.657101627791495,1.5509815654013437e-12,-24.431100067016246,25.59397697794759,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.0756631723258232
0,40,20,fixed continuous c,tail,True,15,0.5263627381955908,0.33924789371766567,6.336317442596817e-05,1.1102230246251565e-13,-25.003791046767127,25.02128599819671,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.008684112540366861
0,40,24,fixed continuous c,deep,True,0,0.3565342068349344,0.27745016253808397,1.0000000000000246,4.118927421359331e-13,-18.035732947061117,34.270542301466406,0.0,1.0,1.0,False,0.0,1.0,1.0,False,7.117404677202622
0,40,24,fixed continuous c,edge,True,8,0.3565342068349344,0.27745016253808397,0.9999999344152142,2.9165558856902862e-12,-25.120160413758498,27.18611483476903,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.03297727609005063
0,40,24,fixed continuous c,knee,True,12,0.3565342068349344,0.27745016253808397,0.657101627791495,1.5509815654013437e-12,-25.55455163099602,26.751723617531507,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.058515634523750415
0,40,24,fixed continuous c,tail,True,15,0.3565342068349344,0.27745016253808397,6.336317442596817e-05,1.1102230246251565e-13,-26.144283395818174,26.161991852709352,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.008790865271163526
0,40,32,fixed continuous c,deep,True,0,0.22483327092594532,0.20406764041768377,1.0000000000000246,4.118927421359331e-13,-19.831879373529294,36.06668979313102,0.0,1.0,1.0,False,0.0,1.0,1.0,False,7.117405209800836
0,40,32,fixed continuous c,edge,True,8,0.22483327092594532,0.20406764041768377,0.9999999344152142,2.9165558856902862e-12,-26.916294889674496,28.982274276985812,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.03298975924044245
0,40,32,fixed continuous c,knee,True,12,0.22483327092594532,0.20406764041768377,0.657101627791495,1.5509815654013437e-12,-27.331721144505746,28.566848022154563,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.03953818896708483
0,40,32,fixed continuous c,tail,True,15,0.22483327092594532,0.20406764041768377,6.336317442596817e-05,1.1102230246251565e-13,-27.94032889919639,27.958240267463918,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.008892320959337814
0,40,44,fixed continuous c,deep,True,0,0.1488879400680923,0.14593277545697686,1.0000000000000246,4.118927421359331e-13,-21.818128927357325,38.0529405039476,0.0,1.0,1.0,False,0.0,1.0,1.0,False,7.117405788295114
0,40,44,fixed continuous c,edge,True,8,0.1488879400680923,0.14593277545697686,0.9999999344152142,2.9165558856902862e-12,-28.902526341306103,30.96854308999883,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.033008439931148104
0,40,44,fixed continuous c,knee,True,12,0.1488879400680923,0.14593277545697686,0.657101627791495,1.5509815654013437e-12,-29.3036108839834,30.567458547321532,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.025177796122428098
0,40,44,fixed continuous c,tail,True,15,0.1488879400680923,0.14593277545697686,6.336317442596817e-05,1.1102230246251565e-13,-29.92651244186161,29.94455698944332,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.00895891061642786
0,40,60,fixed continuous c,deep,True,0,0.10425513056318136,0.10521475525500741,1.0000000000000246,4.118927421359331e-13,-23.752406852634856,39.9872193761745,0.0,1.0,1.0,False,0.0,1.0,1.0,False,7.1174062617697995
0,40,60,fixed continuous c,edge,True,8,0.10425513056318136,0.10521475525500741,0.9999999344152142,2.9165558856902862e-12,-30.836786683862712,32.902839544946644,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.03302649612675057
0,40,60,fixed continuous c,knee,True,12,0.10425513056318136,0.10521475525500741,0.657101627791495,1.5509815654013437e-12,-31.22803840094624,32.51158782786312,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.015326914333055774
0,40,60,fixed continuous c,tail,True,15,0.10425513056318136,0.10521475525500741,6.336317442596817e-05,1.1102230246251565e-13,-31.860749919299995,31.878876309509362,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.008999831930258087
0,40,76,fixed continuous c,deep,True,0,0.08068309480094597,0.08178925713911288,1.0000000000000246,4.118927421359331e-13,-25.22700189812915,41.46181500689252,0.0,1.0,1.0,False,0.0,1.0,1.0,False,7.117406554381661
0,40,76,fixed continuous c,edge,True,8,0.08068309480094597,0.08178925713911288,0.9999999344152142,2.9165558856902862e-12,-32.31136975191917,34.377447153102494,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.03303876617644774
0,40,76,fixed continuous c,knee,True,12,0.08068309480094597,0.08178925713911288,0.657101627791495,1.5509815654013437e-12,-32.69700986241594,33.99180704260573,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.009703037696598638
0,40,76,fixed continuous c,tail,True,15,0.08068309480094597,0.08178925713911288,6.336317442596817e-05,1.1102230246251565e-13,-33.33532356430618,33.35349334071549,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.009021525030225935
0,40,108,fixed continuous c,deep,True,0,0.05583937074324793,0.05583937074324793,1.0000000000000246,4.118927421359331e-13,-27.419868422411646,43.65468220625046,0.0,1.0,1.0,False,0.0,1.0,1.0,False,7.117406891919384
0,40,108,fixed continuous c,edge,True,8,0.05583937074324793,0.05583937074324793,0.9999999344152142,2.9165558856902862e-12,-34.504221417558824,36.570329211103285,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.03305396235701341
