n,c,parameter_path,P,Boulsane_N,method,wall_median_seconds,wall_Q1_seconds,wall_Q3_seconds,wall_IQR_seconds,CPU_median_seconds,reused_entry_count,matrix_storage_bytes,offset_path
0,20,fixed continuous c,70,71,Boulsane_next_zero_eigensolve,8.580000576330349e-05,8.270000034826808e-05,8.970000271801837e-05,7.000002369750291e-06,0.0,,,next_zero
0,20,fixed continuous c,70,71,Boulsane_left_control_assembly,0.02289079999900423,0.022864450002089143,0.02294900000197231,8.454999988316558e-05,0.015625,0,40328,left_control
0,20,fixed continuous c,70,71,Boulsane_left_control_eigensolve,8.479999814881012e-05,8.37500010675285e-05,9.219999992637895e-05,8.44999885885045e-06,0.0,,,left_control
0,20,fixed continuous c,70,71,Boulsane_right_control_assembly,0.022841400001198053,0.022814750001998618,0.022861549998197006,4.6799996198387817e-05,0.015625,0,40328,right_control
0,20,fixed continuous c,70,71,Boulsane_right_control_eigensolve,8.510000043315813e-05,8.309999975608662e-05,9.180000415653922e-05,8.700004400452599e-06,0.0,,,right_control
0,20,fixed continuous c,102,103,project_full_rebuild,0.005504300002939999,0.005462850000185426,0.005767449998529628,0.0003045999983442016,0.0,0,83232,
0,20,fixed continuous c,102,103,project_block_extension,0.0011149999991175719,0.001103250000596745,0.0011168499986524694,1.3599998055724427e-05,0.0,4900,83232,
0,20,fixed continuous c,102,103,project_eigensolve,0.0002114000017172657,0.00020944999778294004,0.00022354999964591116,1.4100001862971112e-05,0.0,,,
0,20,fixed continuous c,102,103,Boulsane_large_N_assembly,0.04807440000149654,0.048040199999377364,0.048245699996186886,0.0002054999968095217,0.046875,0,84872,large_N
0,20,fixed continuous c,102,103,Boulsane_large_N_eigensolve,0.0002282999994349666,0.00022184999761520885,0.00024850000045262277,2.6650002837413922e-05,0.0,,,large_N
0,20,fixed continuous c,102,103,Boulsane_half_mesh_assembly,0.04828079999424517,0.04818094999791356,0.04969300000084331,0.0015120500029297546,0.046875,0,84872,half_mesh
0,20,fixed continuous c,102,103,Boulsane_half_mesh_eigensolve,0.00023099999816622585,0.00022499999977299012,0.0002515500018489547,2.6550002075964585e-05,0.0,,,half_mesh
0,20,fixed continuous c,102,103,Boulsane_next_zero_assembly,0.048078500003612135,0.048075050002807984,0.04850885000269045,0.0004337999998824671,0.046875,0,84872,next_zero
0,20,fixed continuous c,102,103,Boulsane_next_zero_eigensolve,0.00031179999496089295,0.00024354999914066866,0.0003295999995316379,8.605000039096922e-05,0.0,,,next_zero
0,20,fixed continuous c,102,103,Boulsane_left_control_assembly,0.049174599997058976,0.04847209999934421,0.049518299998453585,0.0010461999991093762,0.046875,0,84872,left_control
0,20,fixed continuous c,102,103,Boulsane_left_control_eigensolve,0.00023370000417344272,0.00023069999951985665,0.00025224999990314245,2.1550000383285806e-05,0.0,,,left_control
0,20,fixed continuous c,102,103,Boulsane_right_control_assembly,0.048535800000536256,0.04826204999699257,0.05049344999861205,0.002231400001619477,0.046875,0,84872,right_control
0,20,fixed continuous c,102,103,Boulsane_right_control_eigensolve,0.0002175999979954213,0.00020914999913657084,0.00023965000218595378,3.050000304938294e-05,0.0,,,right_control
0,40,fixed continuous c,44,45,project_full_rebuild,0.0022033000059309416,0.0021807000011904165,0.0022243999992497265,4.369999805931002e-05,0.0,0,15488,
0,40,fixed continuous c,44,45,project_block_extension,0.00022159999934956431,0.00022109999918029644,0.00023064999913913198,9.549999958835542e-06,0.0,1024,15488,
0,40,fixed continuous c,44,45,project_eigensolve,3.149999974993989e-05,3.0499999411404133e-05,3.6249999538995326e-05,5.750000127591193e-06,0.0,,,
0,40,fixed continuous c,44,45,Boulsane_large_N_assembly,0.007588000000396278,0.0075641000003088266,0.007660449999093544,9.634999878471717e-05,0.015625,0,16200,large_N
0,40,fixed continuous c,44,45,Boulsane_large_N_eigensolve,3.5899996873922646e-05,3.1650000892113894e-05,3.7900001188972965e-05,6.250000296859071e-06,0.0,,,large_N
0,40,fixed continuous c,44,45,Boulsane_half_mesh_assembly,0.007626300000993069,0.007603850001032697,0.007667850000871113,6.399999983841553e-05,0.015625,0,16200,half_mesh
