n,c,M_n_c,m_knee,parameter_path,P,matched_total_dimension,project_error,augmented_error,project_P_plus_1_error,Boulsane_error,causal_ratio_or_upper_bound,causal_ratio_is_floor_upper_bound,matched_ratio_or_upper_bound,matched_ratio_is_floor_upper_bound,reference_endpoint_absolute_value,augmented_endpoint_absolute_value,augmented_endpoint_absolute_error,project_Rayleigh_residual,augmented_Rayleigh_residual,Boulsane_Rayleigh_residual,augmented_matrix_audit_passed,Boulsane_matrix_audit_passed,case_boundary_explanation_supported
1,10,2,2,fixed continuous c,34,35,0.014551356295856466,1.9726897670935273e-08,0.014144074415811447,0.0003181264062580569,1.3556741564051012e-06,False,1.3947111059372588e-06,False,1.940594867270971,1.94311607963698,0.002521212366008996,0.09697631669519059,0.00011442321334660136,0.058080929610109765,True,True,True
1,10,2,2,fixed continuous c,50,51,0.009963860966042182,2.955533040527314e-09,0.009771427094934726,0.00015137553898270095,2.9662527915634926e-07,False,3.0246687733661665e-07,False,1.940594867270971,1.9417749330322793,0.0011800657613083576,0.08058968441128055,4.428976984555862e-05,0.028673225040978474,True,True,True
1,10,2,2,fixed continuous c,66,67,0.007576962645701957,7.495565279569405e-10,0.007465215097557154,8.822141508890713e-05,9.892572565104667e-08,False,1.0040655468885528e-07,False,1.940594867270971,1.9412765787779616,0.0006817115069905899,0.07043115780523336,2.230441153468344e-05,0.016965252519039967,True,True,True
1,10,2,2,fixed continuous c,98,99,0.005123315993344146,1.0562584140672016e-10,0.005071996240345822,4.066326216289884e-05,2.06166946454097e-08,False,2.0825299625915793e-08,False,1.940594867270971,1.9409061998341026,0.0003113325631316499,0.058044710058717953,8.373320646572009e-06,0.00792827776169309,True,True,True
1,20,6,5,fixed continuous c,11,12,0.0656753401440735,0.00012172474521188192,0.05998430197991034,0.015973314956680196,0.00185343151546458,False,0.002029276680633033,False,2.2004645556353597,2.3023047441210953,0.10184018848573562,0.20651992244476608,0.009640980293262302,0.3991271819243477,True,True,True
1,20,6,5,fixed continuous c,14,15,0.051264717206846555,3.3948445130382865e-05,0.04783329896266586,0.009882336651013457,0.0006622185194820298,False,0.0007097241015485844,False,2.2004645556353597,2.262032421849658,0.06156786621429822,0.18615214644826628,0.005091708340815284,0.341681406261996,True,True,True
1,20,6,5,fixed continuous c,18,19,0.03990784904823641,9.38342198564257e-06,0.037834817821680744,0.0060567732289731335,0.00023512722959087264,False,0.00024801023305748613,False,2.2004645556353597,2.2374378484235438,0.036973292788184065,0.16671133362315715,0.0026769520286550785,0.3248734142000736,True,True,True
1,20,6,5,fixed continuous c,26,27,0.02781159439740255,1.4836534489859332e-06,0.02680312936268403,0.0029766806543192192,5.334658012718963e-05,False,5.5353739815601965e-05,False,2.2004645556353597,2.218203669048914,0.017739113413554275,0.14127697047573287,0.001064457475861903,0.24963261754722288,True,True,True
1,20,6,5,fixed continuous c,38,39,0.019184193533515193,2.2500379970313844e-07,0.018702286537346846,0.0014286416127973212,1.17286035146618e-05,False,1.20308176892609e-05,False,2.2004645556353597,2.2088199729232167,0.008355417287857048,0.1185337631900509,0.00041453133834161475,0.2384323551650866,True,True,True
1,20,6,5,fixed continuous c,54,55,0.01359097406192833,3.937153325583864e-08,0.013348093674031003,0.0007211881867792425,2.8968882639639506e-06,False,2.949599711937652e-06,False,2.2004645556353597,2.2046281699454875,0.0041636143101277945,0.10040345031359994,0.00017340186504854425,0.18326904812881975,True,True,True
1,20,6,5,fixed continuous c,70,71,0.010528022146520488,1.0861553434438065e-08,0.010381877805383688,0.000434160796254246,1.0316803368453978e-06,False,1.0462031665221135e-06,False,2.2004645556353597,2.2029527004303016,0.00248814479494186,0.08866835438150057,9.107703847483757e-05,0.13158412040559397,True,True,True
1,20,6,5,fixed continuous c,102,103,0.007259726838738545,1.6733736618590456e-09,0.007190005418784895,0.00020717309256790273,2.305009126417506e-07,False,2.327360779850211e-07,False,2.2004645556353597,2.201642303152146,0.0011777475167864537,0.07389212531538107,3.574883135035467e-05,0.07208321761933911,True,True,True
