record_type,n,c,M_n_c,m_knee,parameter_path,path,N,epsilon_over_pi,omega,h,e_lambda,e_Rayleigh,Gamma,next_zero_normalized,half_mesh_scaled,matrix_audit_passed,Rayleigh_fit_slope,Rayleigh_fit_reported,Rayleigh_fit_compatible,oracle_deviation_from_half_mesh,oracle_absolute_deviation_over_h,oracle_O_h_support_case
oracle_diagnostic,0,20,6,6,fixed continuous c,oracle,18,0.4882646298380003,0.34904355494859934,0.05482763340046925,-4.440892098500626e-16,,,,,True,,,,-0.03686775268809517,0.6724301306023475,True
oracle_diagnostic,0,20,6,6,fixed continuous c,oracle,26,0.4920103448145021,0.24259110995159414,0.038106122442506093,3.3306690738754696e-16,,,,,True,,,,-0.025100242035475784,0.6586931554987424,True
oracle_diagnostic,0,20,6,6,fixed continuous c,oracle,38,0.4945718968443339,0.1664587041636746,0.02614727210633384,-7.216449660063518e-16,,,,,True,,,,-0.017052888996768267,0.6521861602777838,True
oracle_diagnostic,0,20,6,6,fixed continuous c,oracle,54,0.49619001207867847,0.11735699908099453,0.018434394308009826,-2.7755575615628914e-16,,,,,True,,,,-0.011969430063889508,0.6492987978828649,True
oracle_diagnostic,0,20,6,6,fixed continuous c,oracle,70,0.49706311252732804,0.09062558612563586,0.014235433779978334,2.7755575615628914e-16,,,,,True,,,,-0.00922650410856618,0.648136491740979,True
oracle_diagnostic,0,20,6,6,fixed continuous c,oracle,102,0.4979851589630546,0.062262253518693314,0.009780131912513607,-4.440892098500626e-16,,,,,True,,,,-0.006329809799818786,0.6472110863576227,True
oracle_diagnostic,0,40,12,12,fixed continuous c,oracle,17,0.553057606293993,0.73581441480531,0.05779072899894586,1.6653345369377348e-15,,,,,True,,,,0.16668538615026796,2.8842928448490137,True
oracle_diagnostic,0,40,12,12,fixed continuous c,oracle,20,0.541314846684825,0.6274602329861924,0.04928061145922905,1.1102230246251565e-16,,,,,True,,,,0.12979441882923481,2.6337826375514157,True
oracle_diagnostic,0,40,12,12,fixed continuous c,oracle,24,0.5325486372360162,0.5243319414204322,0.041180934380222585,4.440892098500626e-16,,,,,True,,,,0.10225455962502772,2.4830558403778267,True
oracle_diagnostic,0,40,12,12,fixed continuous c,oracle,32,0.5232819039939209,0.3945132733382513,0.03098500003157781,-4.440892098500626e-16,,,,,True,,,,0.07314225854888501,2.360569903964608,True
