method,n,c,parameter_path,dimension_old,dimension_new,block_defect_norm_2,relative_block_defect,raw_negative_increment_count,significant_negative_increment_count,minimum_increment
Boulsane_large_N,1,40,fixed continuous c; Boulsane large-N offset,17,20,0.9736040690130364,0.9736040690130362,11,5,-0.01114435613579745
Boulsane_large_N,1,40,fixed continuous c; Boulsane large-N offset,20,24,0.9835364824794895,0.9835364824794895,11,5,-0.007726584800780145
Boulsane_large_N,1,40,fixed continuous c; Boulsane large-N offset,24,32,0.9993008455014153,0.9993008455014151,8,5,-0.006964713064766093
Boulsane_large_N,1,40,fixed continuous c; Boulsane large-N offset,32,44,0.9997378536513513,0.999737853651351,11,5,-0.0039532683183662876
Boulsane_large_N,1,40,fixed continuous c; Boulsane large-N offset,44,60,0.9996756850390371,0.9996756850390371,10,5,-0.001991483084165524
Boulsane_large_N,1,40,fixed continuous c; Boulsane large-N offset,60,76,0.9967531894664169,0.9967531894664167,13,5,-0.0008632106697460395
Boulsane_large_N,1,40,fixed continuous c; Boulsane large-N offset,76,108,0.9998880972831017,0.9998880972831015,9,5,-0.0007180467465845997
Boulsane_large_N,1,80,fixed continuous c; Boulsane large-N offset,30,33,0.9899880299532745,0.9899880299532725,21,5,-0.014962528752410331
Boulsane_large_N,1,80,fixed continuous c; Boulsane large-N offset,33,37,0.9976285337005305,0.9976285337005298,14,6,-0.011030082500824823
Boulsane_large_N,1,80,fixed continuous c; Boulsane large-N offset,37,45,0.9999859511727488,0.9999859511727481,19,6,-0.011012592072807026
Boulsane_large_N,1,80,fixed continuous c; Boulsane large-N offset,45,57,0.9999990008102785,0.9999990008102774,9,6,-0.0071943084635486265
Boulsane_large_N,1,80,fixed continuous c; Boulsane large-N offset,57,73,0.9999994194606603,0.9999994194606598,10,6,-0.004156274696926809
Boulsane_large_N,1,80,fixed continuous c; Boulsane large-N offset,73,89,0.9999895633800326,0.999989563380032,19,6,-0.0020045161829351787
Boulsane_large_N,1,80,fixed continuous c; Boulsane large-N offset,89,121,0.9999999871933265,0.9999999871933261,13,6,-0.0018273321822157573
Boulsane_large_N,2,10,fixed continuous c; Boulsane large-N offset,7,10,0.6824499245114951,0.6824499245114951,2,2,-0.0028237452659778395
Boulsane_large_N,2,10,fixed continuous c; Boulsane large-N offset,10,14,0.6744043694373035,0.6744043694373035,2,2,-0.0014215318011077116
Boulsane_large_N,2,10,fixed continuous c; Boulsane large-N offset,14,22,0.823726933889135,0.823726933889135,2,2,-0.0009386930391659387
Boulsane_large_N,2,10,fixed continuous c; Boulsane large-N offset,22,34,0.8179622707913545,0.8179622707913545,2,2,-0.0003936573069137639
Boulsane_large_N,2,10,fixed continuous c; Boulsane large-N offset,34,50,0.7717594203370537,0.7717594203370537,2,2,-0.00015858978228933118
Boulsane_large_N,2,10,fixed continuous c; Boulsane large-N offset,50,66,0.6235724148018877,0.6235724148018877,3,2,-5.9522626598695894e-05
Boulsane_large_N,2,10,fixed continuous c; Boulsane large-N offset,66,98,0.789197269984083,0.789197269984083,2,2,-4.453970481155256e-05
Boulsane_large_N,2,20,fixed continuous c; Boulsane large-N offset,10,13,0.8993582430789187,0.8993582430789187,5,4,-0.005222334390104444
